,date,name,value
231,2012-01-01,Villalba,25137
232,2012-01-01,Yabucoa,36843
233,2012-01-01,Yauco,40260
234,2013-01-01,Adjuntas,19021
235,2013-01-01,Aguada,40706
236,2013-01-01,Aguadilla,58038
237,2013-01-01,Aguas Buenas,27787
238,2013-01-01,Aibonito,24881
239,2013-01-01,Añasco,28621
240,2013-01-01,Arecibo,92957
241,2013-01-01,Arroyo,19069
242,2013-01-01,Barceloneta,24832
243,2013-01-01,Barranquitas,29871
244,2013-01-01,Bayamón,197489
245,2013-01-01,Cabo Rojo,50545
246,2013-01-01,Caguas,138677
247,2013-01-01,Camuy,34059
248,2013-01-01,Canóvanas,47546
249,2013-01-01,Carolina,168509
250,2013-01-01,Cataño,26776
251,2013-01-01,Cayey,46769
252,2013-01-01,Ceiba,12870
253,2013-01-01,Ciales,17977
254,2013-01-01,Cidra,42458
255,2013-01-01,Coamo,40411
256,2013-01-01,Comerío,20398
257,2013-01-01,Corozal,36060
258,2013-01-01,Culebra,1815
259,2013-01-01,Dorado,38251
260,2013-01-01,Fajardo,34834
261,2013-01-01,Florida,12443
262,2013-01-01,Guánica,18241
263,2013-01-01,Guayama,43897
264,2013-01-01,Guayanilla,20512
265,2013-01-01,Guaynabo,94124
266,2013-01-01,Gurabo,46878
267,2013-01-01,Hatillo,41723
268,2013-01-01,Hormigueros,16886
269,2013-01-01,Humacao,56528
270,2013-01-01,Isabela,44559
271,2013-01-01,Jayuya,15928
272,2013-01-01,Juana Díaz,49358
273,2013-01-01,Juncos,40237
274,2013-01-01,Lajas,24791
275,2013-01-01,Lares,28793
276,2013-01-01,Las Marías,9341
277,2013-01-01,Las Piedras,38715
278,2013-01-01,Loíza,28548
279,2013-01-01,Luquillo,19530
280,2013-01-01,Manatí,42293
281,2013-01-01,Maricao,6082
282,2013-01-01,Maunabo,11754
283,2013-01-01,Mayagüez,83688
284,2013-01-01,Moca,38937
285,2013-01-01,Morovis,32371
286,2013-01-01,Naguabo,26896
287,2013-01-01,Naranjito,29828
288,2013-01-01,Orocovis,22656
289,2013-01-01,Patillas,18481
290,2013-01-01,Peñuelas,22808
291,2013-01-01,Ponce,156393
292,2013-01-01,Quebradillas,25291
293,2013-01-01,Rincón,14868
294,2013-01-01,Río Grande,53356
295,2013-01-01,Sabana Grande,24477
296,2013-01-01,Salinas,30177
297,2013-01-01,San Germán,34161
298,2013-01-01,San Juan,372439
299,2013-01-01,San Lorenzo,39922
300,2013-01-01,San Sebastián,40598
301,2013-01-01,Santa Isabel,23006
302,2013-01-01,Toa Alta,74823
303,2013-01-01,Toa Baja,85510
304,2013-01-01,Trujillo Alto,72113
305,2013-01-01,Utuado,31556
306,2013-01-01,Vega Alta,39500
307,2013-01-01,Vega Baja,57039
308,2013-01-01,Vieques,9166
309,2013-01-01,Villalba,24747
310,2013-01-01,Yabucoa,36374
311,2013-01-01,Yauco,39508
312,2014-01-01,Adjuntas,18795
313,2014-01-01,Aguada,40131
314,2014-01-01,Aguadilla,57085
315,2014-01-01,Aguas Buenas,27355
316,2014-01-01,Aibonito,24455
317,2014-01-01,Añasco,28319
318,2014-01-01,Arecibo,91239
319,2014-01-01,Arroyo,18818
320,2014-01-01,Barceloneta,24770
321,2014-01-01,Barranquitas,29596
322,2014-01-01,Bayamón,193078
323,2014-01-01,Cabo Rojo,50165
324,2014-01-01,Caguas,136616
325,2014-01-01,Camuy,33532
326,2014-01-01,Canóvanas,47276
327,2014-01-01,Carolina,165305
328,2014-01-01,Cataño,26229
329,2014-01-01,Cayey,46125
330,2014-01-01,Ceiba,12550
331,2014-01-01,Ciales,17689
332,2014-01-01,Cidra,41863
333,2014-01-01,Coamo,40158
334,2014-01-01,Comerío,20203
335,2014-01-01,Corozal,35545
336,2014-01-01,Culebra,1813
337,2014-01-01,Dorado,38092
338,2014-01-01,Fajardo,33926
339,2014-01-01,Florida,12332
340,2014-01-01,Guánica,17808
341,2014-01-01,Guayama,43280
342,2014-01-01,Guayanilla,20069
343,2014-01-01,Guaynabo,92418
344,2014-01-01,Gurabo,47040
345,2014-01-01,Hatillo,41411
346,2014-01-01,Hormigueros,16701
347,2014-01-01,Humacao,55715
348,2014-01-01,Isabela,43990
349,2014-01-01,Jayuya,15660
350,2014-01-01,Juana Díaz,48716
351,2014-01-01,Juncos,39937
352,2014-01-01,Lajas,24383
353,2014-01-01,Lares,28104
354,2014-01-01,Las Marías,9109
355,2014-01-01,Las Piedras,38545
356,2014-01-01,Loíza,27934
357,2014-01-01,Luquillo,19287
358,2014-01-01,Manatí,41505
359,2014-01-01,Maricao,5987
360,2014-01-01,Maunabo,11548
361,2014-01-01,Mayagüez,81626
362,2014-01-01,Moca,38339
363,2014-01-01,Morovis,32123
364,2014-01-01,Naguabo,26781
365,2014-01-01,Naranjito,29509
366,2014-01-01,Orocovis,22313
367,2014-01-01,Patillas,18160
368,2014-01-01,Peñuelas,22281
369,2014-01-01,Ponce,153002
370,2014-01-01,Quebradillas,24943
371,2014-01-01,Rincón,14726
372,2014-01-01,Río Grande,52615
373,2014-01-01,Sabana Grande,24100
374,2014-01-01,Salinas,29739
375,2014-01-01,San Germán,33571
376,2014-01-01,San Juan,364081
377,2014-01-01,San Lorenzo,39324
378,2014-01-01,San Sebastián,39809
379,2014-01-01,Santa Isabel,22759
